phone,cat,poa,moa,voicing,back,height,rounding
i,vow,-1,-1,-1,0,0,0
y,vow,-1,-1,-1,0,0,1
ɨ,vow,-1,-1,-1,2,0,0
ʉ,vow,-1,-1,-1,2,0,1
ɯ,vow,-1,-1,-1,4,0,0
u,vow,-1,-1,-1,4,0,1
ɪ,vow,-1,-1,-1,1,1,0
ʏ,vow,-1,-1,-1,1,1,1
ʊ,vow,-1,-1,-1,3,1,1
e,vow,-1,-1,-1,0,2,0
ø,vow,-1,-1,-1,0,2,1
ɘ,vow,-1,-1,-1,2,2,0
ɵ,vow,-1,-1,-1,2,2,1
ɤ,vow,-1,-1,-1,4,2,0
o,vow,-1,-1,-1,4,2,1
ə,vow,-1,-1,-1,2,3,0
ɛ,vow,-1,-1,-1,0,4,0
œ,vow,-1,-1,-1,0,4,1
ɜ,vow,-1,-1,-1,2,4,0
ɞ,vow,-1,-1,-1,2,4,1
ʌ,vow,-1,-1,-1,4,4,0
ɔ,vow,-1,-1,-1,4,4,1
æ,vow,-1,-1,-1,0,5,0
ɐ,vow,-1,-1,-1,2,5,0
a,vow,-1,-1,-1,0,6,0
ɶ,vow,-1,-1,-1,0,6,1
ɑ,vow,-1,-1,-1,4,6,0
ɒ,vow,-1,-1,-1,4,6,1
p,con,0,0,0,-1,-1,-1
b,con,0,0,1,-1,-1,-1
t,con,3,0,0,-1,-1,-1
d,con,3,0,1,-1,-1,-1
ʈ,con,5,0,0,-1,-1,-1
ɖ,con,5,0,1,-1,-1,-1
c,con,6,0,0,-1,-1,-1
ɟ,con,6,0,1,-1,-1,-1
k,con,7,0,0,-1,-1,-1
g,con,7,0,1,-1,-1,-1
q,con,8,0,0,-1,-1,-1
ɢ,con,8,0,1,-1,-1,-1
ʔ,con,10,0,0,-1,-1,-1
m,con,0,1,1,-1,-1,-1
ɱ,con,1,1,1,-1,-1,-1
n,con,3,1,1,-1,-1,-1
ɳ,con,5,1,1,-1,-1,-1
ɲ,con,6,1,1,-1,-1,-1
ŋ,con,7,1,1,-1,-1,-1
ɴ,con,8,1,1,-1,-1,-1
ʙ,con,0,2,1,-1,-1,-1
r,con,3,2,1,-1,-1,-1
ʀ,con,8,2,1,-1,-1,-1
ⱱ,con,1,3,1,-1,-1,-1
ɾ,con,3,3,1,-1,-1,-1
ɽ,con,5,3,1,-1,-1,-1
ɸ,con,0,4,0,-1,-1,-1
β,con,0,4,1,-1,-1,-1
f,con,1,4,0,-1,-1,-1
v,con,1,4,1,-1,-1,-1
θ,con,2,4,0,-1,-1,-1
ð,con,2,4,1,-1,-1,-1
s,con,3,4,0,-1,-1,-1
z,con,3,4,1,-1,-1,-1
ʃ,con,4,4,0,-1,-1,-1
ʒ,con,4,4,1,-1,-1,-1
ʂ,con,5,4,0,-1,-1,-1
ʐ,con,5,4,1,-1,-1,-1
ç,con,6,4,0,-1,-1,-1
ʝ,con,6,4,1,-1,-1,-1
x,con,7,4,0,-1,-1,-1
ɣ,con,7,4,1,-1,-1,-1
χ,con,8,4,0,-1,-1,-1
ʁ,con,8,4,1,-1,-1,-1
ħ,con,9,4,0,-1,-1,-1
ʕ,con,9,4,1,-1,-1,-1
h,con,10,4,0,-1,-1,-1
ɦ,con,10,4,1,-1,-1,-1
ɬ,con,3,5,0,-1,-1,-1
ɮ,con,3,5,1,-1,-1,-1
ʋ,con,1,6,1,-1,-1,-1
ɹ,con,3,6,1,-1,-1,-1
ɻ,con,5,6,1,-1,-1,-1
j,con,6,6,1,-1,-1,-1
ɰ,con,7,6,1,-1,-1,-1
l,con,3,7,1,-1,-1,-1
ɭ,con,5,7,1,-1,-1,-1
ʎ,con,6,7,1,-1,-1,-1
ʟ,con,7,7,1,-1,-1,-1
