ipa,unicode
m̥,b'm\\u0325'
m,b'm'
ɱ,b'\\u0271'
n̼,b'n\\u033c'
n̪,b'n\\u032a'
n̥,b'n\\u0325'
n,b'n'
ɳ̊,b'\\u0273\\u030a'
ɳ,b'\\u0273'
ɲ̊,b'\\u0272\\u030a'
ɲ,b'\\u0272'
ŋ̊,b'\\u014b\\u030a'
ŋ,b'\\u014b'
ɴ,b'\\u0274'
p,b'p'
b,b'b'
p̪,b'p\\u032a'
b̪,b'b\\u032a'
t̼,b't\\u033c'
d̼,b'd\\u033c'
t̪,b't\\u032a'
d̪,b'd\\u032a'
t,b't'
d,b'd'
ʈ,b'\\u0288'
ɖ,b'\\u0256'
c,b'c'
ɟ,b'\\u025f'
k,b'k'
ɡ,b'\\u0261'
q,b'q'
ɢ,b'\\u0262'
ʡ,b'\\u02a1'
ʔ,b'\\u0294'
ts,b'ts'
dz,b'dz'
t̠ʃ,b't\\u0320\\u0283'
d̠ʒ,b'd\\u0320\\u0292'
ʈʂ,b'\\u0288\\u0282'
ɖʐ,b'\\u0256\\u0290'
tɕ,b't\\u0255'
dʑ,b'd\\u0291'
pɸ,b'p\\u0278'
bβ,b'b\\u03b2'
p̪f,b'p\\u032af'
b̪v,b'b\\u032av'
t̪θ,b't\\u032a\\u03b8'
d̪ð,b'd\\u032a\\xf0'
tɹ̝̊,b't\\u0279\\u031d\\u030a'
dɹ̝,b'd\\u0279\\u031d'
t̠ɹ̠̊˔,b't\\u0320\\u0279\\u0320\\u030a\\u02d4'
d̠ɹ̠˔,b'd\\u0320\\u0279\\u0320\\u02d4'
cç,b'c\\xe7'
ɟʝ,b'\\u025f\\u029d'
kx,b'kx'
ɡɣ,b'\\u0261\\u0263'
qχ,b'q\\u03c7'
ɢʁ,b'\\u0262\\u0281'
ʡʜ,b'\\u02a1\\u029c'
ʡʢ,b'\\u02a1\\u02a2'
ʔh,b'\\u0294h'
s̪,b's\\u032a'
z̪,b'z\\u032a'
s,b's'
z,b'z'
ʃ,b'\\u0283'
ʒ,b'\\u0292'
ʂ,b'\\u0282'
ʐ,b'\\u0290'
ɕ,b'\\u0255'
ʑ,b'\\u0291'
ɸ,b'\\u0278'
β,b'\\u03b2'
f,b'f'
v,b'v'
θ̼,b'\\u03b8\\u033c'
ð̼,b'\\xf0\\u033c'
θ,b'\\u03b8'
ð,b'\\xf0'
θ̠,b'\\u03b8\\u0320'
ð̠,b'\\xf0\\u0320'
ɹ̠̊˔,b'\\u0279\\u0320\\u030a\\u02d4'
ɹ̠˔,b'\\u0279\\u0320\\u02d4'
ɻ˔,b'\\u027b\\u02d4'
ç,b'\\xe7'
ʝ,b'\\u029d'
x,b'x'
ɣ,b'\\u0263'
χ,b'\\u03c7'
ʁ,b'\\u0281'
ħ,b'\\u0127'
ʕ,b'\\u0295'
h,b'h'
ɦ,b'\\u0266'
ʋ,b'\\u028b'
ɹ,b'\\u0279'
ɻ,b'\\u027b'
j,b'j'
ɰ,b'\\u0270'
ʔ̞,b'\\u0294\\u031e'
ⱱ̟,b'\\u2c71\\u031f'
ⱱ,b'\\u2c71'
ɾ̼,b'\\u027e\\u033c'
ɾ̪,b'\\u027e\\u032a'
ɾ̥,b'\\u027e\\u0325'
ɾ,b'\\u027e'
ɽ̊,b'\\u027d\\u030a'
ɽ,b'\\u027d'
ɢ̆,b'\\u0262\\u0306'
ʡ̆,b'\\u02a1\\u0306'
ʙ̥,b'\\u0299\\u0325'
ʙ,b'\\u0299'
r̪,b'r\\u032a'
r̥,b'r\\u0325'
r,b'r'
ɽ̊r̥,b'\\u027d\\u030ar\\u0325'
ɽr,b'\\u027dr'
ʀ̥,b'\\u0280\\u0325'
