lang,voice,accent
af-ZA,af-ZA-AdriNeural,nonnative
af-ZA,af-ZA-WillemNeural,nonnative
ar-DZ,ar-DZ-AminaNeural,nonnative
ar-DZ,ar-DZ-IsmaelNeural,nonnative
ar-BH,ar-BH-LailaNeural,nonnative
ar-BH,ar-BH-AliNeural,nonnative
ar-EG,ar-EG-SalmaNeural,nonnative
ar-EG,ar-EG-ShakirNeural,nonnative
ar-IQ,ar-IQ-RanaNeural,nonnative
ar-IQ,ar-IQ-BasselNeural,nonnative
ar-JO,ar-JO-Sana Neural,nonnative
ar-JO,ar-JO-Taim Neural,nonnative
ar-KW,ar-KW-NouraNeural,nonnative
ar-KW,ar-KW-FahedNeural,nonnative
ar-LY,ar-LY-ImanNeural,nonnative
ar-LY,ar-LY-OmarNeural,nonnative
ar-MA,ar-MA-MounaNeural,nonnative
ar-MA,ar-MA-JamalNeural,nonnative
ar-QA,ar-QA-AmalNeural,nonnative
ar-QA,ar-QA-MoazNeural,nonnative
ar-SA,ar-SA-ZariyahNeural,nonnative
ar-SA,ar-SA-HamedNeural,nonnative
ar-SY,ar-SY-AmanyNeural,nonnative
ar-SY,ar-SY-LaithNeural,nonnative
ar-TN,ar-TN-ReemNeural,nonnative
ar-TN,ar-TN-HediNeural,nonnative
ar-AE,ar-AE-FatimaNeural,nonnative
ar-AE,ar-AE-HamdanNeural,nonnative
ar-YE,ar-YE-MaryamNeural,nonnative
ar-YE,ar-YE-SalehNeural,nonnative
bg-BG,bg-BG-KalinaNeural,nonnative
bg-BG,bg-BG-BorislavNeural,nonnative
ca-ES,ca-ES-AlbaNeural,nonnative
ca-ES,ca-ES-JoanaNeural,nonnative
ca-ES,ca-ES-EnricNeural,nonnative
zh-HK,zh-HK-HiuGaaiNeural,nonnative
zh-HK,zh-HK-HiuMaanNeural,nonnative
zh-HK,zh-HK-WanLungNeural,nonnative
zh-CN,zh-CN-XiaohanNeural,nonnative
zh-CN,zh-CN-XiaomoNeural,nonnative
zh-CN,zh-CN-XiaoruiNeural,nonnative
zh-CN,zh-CN-XiaoxiaoNeural,nonnative
zh-CN,zh-CN-XiaoxuanNeural,nonnative
zh-CN,zh-CN-XiaoyouNeural,nonnative
zh-CN,zh-CN-YunxiNeural,nonnative
zh-CN,zh-CN-YunyangNeural,nonnative
zh-CN,zh-CN-YunyeNeural,nonnative
zh-TW,zh-TW-HsiaoChenNeural,nonnative
zh-TW,zh-TW-HsiaoYuNeural,nonnative
zh-TW,zh-TW-YunJheNeural,nonnative
hr-HR,hr-HR-GabrijelaNeural,nonnative
hr-HR,hr-HR-SreckoNeural,nonnative
cs-CZ,cs-CZ-VlastaNeural,nonnative
cs-CZ,cs-CZ-AntoninNeural,nonnative
da-DK,da-DK-ChristelNeural,nonnative
da-DK,da-DK-JeppeNeural,nonnative
nl-BE,nl-BE-DenaNeural,nonnative
nl-BE,nl-BE-ArnaudNeural,nonnative
nl-NL,nl-NL-ColetteNeural,nonnative
nl-NL,nl-NL-FennaNeural,nonnative
nl-NL,nl-NL-MaartenNeural,nonnative
et-EE,et-EE-AnuNeural,nonnative
et-EE,et-EE-KertNeural,nonnative
fil-PH,fil-PH-BlessicaNeural,nonnative
fil-PH,fil-PH-AngeloNeural,nonnative
fi-FI,fi-FI-NooraNeural,nonnative
fi-FI,fi-FI-SelmaNeural,nonnative
fi-FI,fi-FI-HarriNeural,nonnative
fr-BE,fr-BE-CharlineNeural,nonnative
fr-BE,fr-BE-GerardNeural,nonnative
fr-CA,fr-CA-SylvieNeural,nonnative
fr-CA,fr-CA-AntoineNeural,nonnative
fr-CA,fr-CA-JeanNeural,nonnative
fr-FR,fr-FR-DeniseNeural,nonnative
fr-FR,fr-FR-HenriNeural,nonnative
fr-CH,fr-CH-ArianeNeural,nonnative
fr-CH,fr-CH-FabriceNeural,nonnative
gl-ES,gl-ES-SabelaNeural,nonnative
gl-ES,gl-ES-RoiNeural,nonnative
de-AT,de-AT-IngridNeural,nonnative
de-AT,de-AT-JonasNeural,nonnative
de-DE,de-DE-KatjaNeural,nonnative
de-DE,de-DE-ConradNeural,nonnative
de-CH,de-CH-LeniNeural,nonnative
de-CH,de-CH-JanNeural,nonnative
el-GR,el-GR-AthinaNeural,nonnative
el-GR,el-GR-NestorasNeural,nonnative
gu-IN,gu-IN-DhwaniNeural,nonnative
gu-IN,gu-IN-NiranjanNeural,nonnative
he-IL,he-IL-HilaNeural,nonnative
he-IL,he-IL-AvriNeural,nonnative
hi-IN,hi-IN-SwaraNeural,nonnative
hi-IN,hi-IN-MadhurNeural,nonnative
hu-HU,hu-HU-NoemiNeural,nonnative
hu-HU,hu-HU-TamasNeural,nonnative
id-ID,id-ID-GadisNeural,nonnative
id-ID,id-ID-ArdiNeural,nonnative
ga-IE,ga-IE-OrlaNeural,nonnative
ga-IE,ga-IE-ColmNeural,nonnative
it-IT,it-IT-ElsaNeural,nonnative
it-IT,it-IT-IsabellaNeural,nonnative
it-IT,it-IT-DiegoNeural,nonnative
ja-JP,ja-JP-NanamiNeural,nonnative
ja-JP,ja-JP-KeitaNeural,nonnative
jv-ID,jv-ID-SitiNeural,nonnative
jv-ID,jv-ID-DimasNeural,nonnative
ko-KR,ko-KR-SunHiNeural,nonnative
ko-KR,ko-KR-InJoonNeural,nonnative
lv-LV,lv-LV-EveritaNeural,nonnative
lv-LV,lv-LV-NilsNeural,nonnative
lt-LT,lt-LT-OnaNeural,nonnative
lt-LT,lt-LT-LeonasNeural,nonnative
ms-MY,ms-MY-YasminNeural,nonnative
ms-MY,ms-MY-OsmanNeural,nonnative
mt-MT,mt-MT-GraceNeural,nonnative
mt-MT,mt-MT-JosephNeural,nonnative
mr-IN,mr-IN-AarohiNeural,nonnative
mr-IN,mr-IN-ManoharNeural,nonnative
nb-NO,nb-NO-IselinNeural,nonnative
nb-NO,nb-NO-PernilleNeural,nonnative
nb-NO,nb-NO-FinnNeural,nonnative
pl-PL,pl-PL-AgnieszkaNeural,nonnative
pl-PL,pl-PL-ZofiaNeural,nonnative
pl-PL,pl-PL-MarekNeural,nonnative
pt-BR,pt-BR-FranciscaNeural,nonnative
pt-BR,pt-BR-AntonioNeural,nonnative
pt-PT,pt-PT-FernandaNeural,nonnative
pt-PT,pt-PT-RaquelNeural,nonnative
